mutation_id	target_label	target_property	target_status	status	exit	cprover_status	explicit_failure_count	other_explicit_failure_count	nonexplicit_nonsuccess_count	unwind_failure_count
M1_EVEN_NONCARRY	PBYTES-T2.P1	harness.assertion.1	FAILURE	PASS	10	FAILURE	2	1	0	0
M2_EVEN_CARRY	PBYTES-T2.P2	harness.assertion.2	FAILURE	PASS	10	FAILURE	1	0	0	0
M3_ODD_NONCARRY	PBYTES-T2.P3	harness.assertion.3	FAILURE	PASS	10	FAILURE	2	1	0	0
M4_ODD_CARRY	PBYTES-T2.P4	harness.assertion.4	FAILURE	PASS	10	FAILURE	1	0	0	0
