producer_stage,output_key,declared_path,resolved_path,exists,declared_sha256,sha256,checksum_matches_manifest,checksum_declared,size_bytes
05_artifact_generation,plan_harness_traceability_validation,validation/04_plan_harness_traceability_validation.json,/home/girish/THESIS-2026/thesis-pipeline/runs/run_001_mlk_poly_add_open_discovery_20260714/stages/05_artifact_generation/validation/04_plan_harness_traceability_validation.json,True,4faf2464327a69009ee4cc39a2d4fcea75cef9ba6ec7893d06089a10915838e3,4faf2464327a69009ee4cc39a2d4fcea75cef9ba6ec7893d06089a10915838e3,True,True,642
05_artifact_generation,artifact_plan_validation,validation/llm_call_validation.json,/home/girish/THESIS-2026/thesis-pipeline/runs/run_001_mlk_poly_add_open_discovery_20260714/stages/05_artifact_generation/validation/llm_call_validation.json,True,603d103845d7c530be25c53c48e73a1dcbc58c0477bfb8c2540e7894c8874eb8,603d103845d7c530be25c53c48e73a1dcbc58c0477bfb8c2540e7894c8874eb8,True,True,2158
05_artifact_generation,similarity_audit_details,validation/04_similarity_audit_details.csv,/home/girish/THESIS-2026/thesis-pipeline/runs/run_001_mlk_poly_add_open_discovery_20260714/stages/05_artifact_generation/validation/04_similarity_audit_details.csv,True,11703b21aa5a98467aee1c2d7b3a056adc7b79660c79d41345c8d4265496ad48,11703b21aa5a98467aee1c2d7b3a056adc7b79660c79d41345c8d4265496ad48,True,True,69
05_artifact_generation,contract_plan_validation,validation/04_contract_plan_validation.json,/home/girish/THESIS-2026/thesis-pipeline/runs/run_001_mlk_poly_add_open_discovery_20260714/stages/05_artifact_generation/validation/04_contract_plan_validation.json,True,dd35226b13f190824c824b47e8245f3ea31baefdd958a1159b6a222c85ed0f12,dd35226b13f190824c824b47e8245f3ea31baefdd958a1159b6a222c85ed0f12,True,True,1497
05_artifact_generation,generated_contract_header,rendered_outputs/contracts/04_generated_contracts.h,/home/girish/THESIS-2026/thesis-pipeline/runs/run_001_mlk_poly_add_open_discovery_20260714/stages/05_artifact_generation/rendered_outputs/contracts/04_generated_contracts.h,True,caae00926bdce4c8a082bf3545bb53ce8d1ae3837863bf43f74962841054e791,caae00926bdce4c8a082bf3545bb53ce8d1ae3837863bf43f74962841054e791,True,True,411
05_artifact_generation,contract_instrumentation_manifest,rendered_outputs/contracts/04_contract_instrumentation_manifest.json,/home/girish/THESIS-2026/thesis-pipeline/runs/run_001_mlk_poly_add_open_discovery_20260714/stages/05_artifact_generation/rendered_outputs/contracts/04_contract_instrumentation_manifest.json,True,b424fa250c45a5ec8e2f0db3bb60f830f12ae4bf79831f75579083a0f9af4ccd,b424fa250c45a5ec8e2f0db3bb60f830f12ae4bf79831f75579083a0f9af4ccd,True,True,542
05_artifact_generation,contract_instrumentation_diff,rendered_outputs/contracts/04_contract_instrumentation.diff,/home/girish/THESIS-2026/thesis-pipeline/runs/run_001_mlk_poly_add_open_discovery_20260714/stages/05_artifact_generation/rendered_outputs/contracts/04_contract_instrumentation.diff,True,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,True,True,0
05_artifact_generation,prohibited_copy_reference_index,prohibited_copy_reference/existing_harness_similarity_sources.json,/home/girish/THESIS-2026/thesis-pipeline/runs/run_001_mlk_poly_add_open_discovery_20260714/stages/05_artifact_generation/prohibited_copy_reference/existing_harness_similarity_sources.json,True,c84270900faa3b68fa1651fc1d49de408e1dce7771c63147a96eeccafc64a4de,c84270900faa3b68fa1651fc1d49de408e1dce7771c63147a96eeccafc64a4de,True,True,467
06_review_critic,critic_review,iterations/iteration_00/llm_authoritative/05_critic_review.json,/home/girish/THESIS-2026/thesis-pipeline/runs/run_001_mlk_poly_add_open_discovery_20260714/stages/06_review_critic/iterations/iteration_00/llm_authoritative/05_critic_review.json,True,8116ec530d3b57d18238a34d55ebf26ef139a92912d57b2fe2cde2a952d57cc9,8116ec530d3b57d18238a34d55ebf26ef139a92912d57b2fe2cde2a952d57cc9,True,True,9241
06_review_critic,review_gate_decision,iterations/iteration_00/validation/05_review_gate_decision.json,/home/girish/THESIS-2026/thesis-pipeline/runs/run_001_mlk_poly_add_open_discovery_20260714/stages/06_review_critic/iterations/iteration_00/validation/05_review_gate_decision.json,True,b02ec0d74fb5cfc2f9845230935f863c2a007045beb6b2aa2f742cee9cfb9c57,b02ec0d74fb5cfc2f9845230935f863c2a007045beb6b2aa2f742cee9cfb9c57,True,True,2042
06_review_critic,formal_build_plan,iterations/iteration_00/validation/05_formal_build_plan.json,/home/girish/THESIS-2026/thesis-pipeline/runs/run_001_mlk_poly_add_open_discovery_20260714/stages/06_review_critic/iterations/iteration_00/validation/05_formal_build_plan.json,True,9893307c40cbe22c883d4385bb4819eefd3d2254308254ece776c1fc8af2796b,9893307c40cbe22c883d4385bb4819eefd3d2254308254ece776c1fc8af2796b,True,True,5251
06_review_critic,generated_harness_under_review,../05_artifact_generation/rendered_outputs/04_generated_harness.c,/home/girish/THESIS-2026/thesis-pipeline/runs/run_001_mlk_poly_add_open_discovery_20260714/stages/05_artifact_generation/rendered_outputs/04_generated_harness.c,True,413e45bd44579565fe5d1bf2a2034ba9cdd7227e76b778c00029b85aabd71805,413e45bd44579565fe5d1bf2a2034ba9cdd7227e76b778c00029b85aabd71805,True,True,632
06_review_critic,artifact_plan_under_review,../05_artifact_generation/llm_authoritative/04_artifact_plan.json,/home/girish/THESIS-2026/thesis-pipeline/runs/run_001_mlk_poly_add_open_discovery_20260714/stages/05_artifact_generation/llm_authoritative/04_artifact_plan.json,True,7b2b387ffa688d8f83831ed3fcec194bd9755b2e83bd0ef9d78797e0d57021c6,7b2b387ffa688d8f83831ed3fcec194bd9755b2e83bd0ef9d78797e0d57021c6,True,True,16752
06_review_critic,artifact_manifest_under_review,../05_artifact_generation/rendered_outputs/04_artifact_manifest.json,/home/girish/THESIS-2026/thesis-pipeline/runs/run_001_mlk_poly_add_open_discovery_20260714/stages/05_artifact_generation/rendered_outputs/04_artifact_manifest.json,True,840b93488c77a9c5d78d83445add158eeade3faac8f1e77fc6cf1e4774853562,840b93488c77a9c5d78d83445add158eeade3faac8f1e77fc6cf1e4774853562,True,True,4883
06_review_critic,independence_audit_under_review,../05_artifact_generation/validation/04_independence_audit.json,/home/girish/THESIS-2026/thesis-pipeline/runs/run_001_mlk_poly_add_open_discovery_20260714/stages/05_artifact_generation/validation/04_independence_audit.json,True,6ac3357c6ee978fe133abd5ce77e1c1e706a03a56e59d786274160ce1d7040da,6ac3357c6ee978fe133abd5ce77e1c1e706a03a56e59d786274160ce1d7040da,True,True,803
06_review_critic,critic_review_validation,iterations/iteration_00/validation/llm_call_validation.json,/home/girish/THESIS-2026/thesis-pipeline/runs/run_001_mlk_poly_add_open_discovery_20260714/stages/06_review_critic/iterations/iteration_00/validation/llm_call_validation.json,True,efa47879fc517a912e8192086ebd74d0959e713ba04848c77e407165d0c6d432,efa47879fc517a912e8192086ebd74d0959e713ba04848c77e407165d0c6d432,True,True,2206
06_review_critic,review_gate_decision_md,iterations/iteration_00/validation/05_review_gate_decision.md,/home/girish/THESIS-2026/thesis-pipeline/runs/run_001_mlk_poly_add_open_discovery_20260714/stages/06_review_critic/iterations/iteration_00/validation/05_review_gate_decision.md,True,c110c0fae1bce21f1c83d2b9b763248ce5f4f710820c309bda07d322a050de3c,c110c0fae1bce21f1c83d2b9b763248ce5f4f710820c309bda07d322a050de3c,True,True,461
06_review_critic,deterministic_review_diagnostics,iterations/iteration_00/deterministic_reference/05_critic_review.deterministic.json,/home/girish/THESIS-2026/thesis-pipeline/runs/run_001_mlk_poly_add_open_discovery_20260714/stages/06_review_critic/iterations/iteration_00/deterministic_reference/05_critic_review.deterministic.json,True,8c7f96f0dd1e76fa50af45ae9d3217fcf3d5eb1d4e44e43214dd02067e1b651e,8c7f96f0dd1e76fa50af45ae9d3217fcf3d5eb1d4e44e43214dd02067e1b651e,True,True,7325
07_tool_execution,cbmc_status,iterations/iteration_00/tool_outputs/06_cbmc_status.json,/home/girish/THESIS-2026/thesis-pipeline/runs/run_001_mlk_poly_add_open_discovery_20260714/stages/07_tool_execution/iterations/iteration_00/tool_outputs/06_cbmc_status.json,True,6b10daa1f128e916dfd94b19b8793560d9b8f4763007ddf1d30d5ed54ec3ed38,6b10daa1f128e916dfd94b19b8793560d9b8f4763007ddf1d30d5ed54ec3ed38,True,True,5055
07_tool_execution,cbmc_output,iterations/iteration_00/tool_outputs/06_cbmc_output.txt,/home/girish/THESIS-2026/thesis-pipeline/runs/run_001_mlk_poly_add_open_discovery_20260714/stages/07_tool_execution/iterations/iteration_00/tool_outputs/06_cbmc_output.txt,True,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,True,True,0
07_tool_execution,cbmc_stderr,iterations/iteration_00/tool_outputs/06_cbmc_stderr.txt,/home/girish/THESIS-2026/thesis-pipeline/runs/run_001_mlk_poly_add_open_discovery_20260714/stages/07_tool_execution/iterations/iteration_00/tool_outputs/06_cbmc_stderr.txt,True,e6b58f1610f115967a0c85b1dd3da0f94f4f5cccf31e42e720f494369af80d82,e6b58f1610f115967a0c85b1dd3da0f94f4f5cccf31e42e720f494369af80d82,True,True,540
07_tool_execution,cbmc_command,iterations/iteration_00/tool_outputs/06_cbmc_command.txt,/home/girish/THESIS-2026/thesis-pipeline/runs/run_001_mlk_poly_add_open_discovery_20260714/stages/07_tool_execution/iterations/iteration_00/tool_outputs/06_cbmc_command.txt,True,8d06558ba8ab70435322593cfac86d1e79eb04b45662dfda2e84d5993b7de738,8d06558ba8ab70435322593cfac86d1e79eb04b45662dfda2e84d5993b7de738,True,True,1555
07_tool_execution,cbmc_property_results,iterations/iteration_00/tool_outputs/06_cbmc_property_results.json,/home/girish/THESIS-2026/thesis-pipeline/runs/run_001_mlk_poly_add_open_discovery_20260714/stages/07_tool_execution/iterations/iteration_00/tool_outputs/06_cbmc_property_results.json,True,ba09dedf7a95b3934ce179708f5d7116ab6a4cddeb2d8a4f038768eb6f0e5d8d,ba09dedf7a95b3934ce179708f5d7116ab6a4cddeb2d8a4f038768eb6f0e5d8d,True,True,259
07_tool_execution,selected_property_coverage,iterations/iteration_00/tool_outputs/06_selected_property_coverage.json,/home/girish/THESIS-2026/thesis-pipeline/runs/run_001_mlk_poly_add_open_discovery_20260714/stages/07_tool_execution/iterations/iteration_00/tool_outputs/06_selected_property_coverage.json,True,eef07e540f5c7663b316b46ab0750d9063738b25865c5bfbf742709beccf95d2,eef07e540f5c7663b316b46ab0750d9063738b25865c5bfbf742709beccf95d2,True,True,428
