MUTANT_ID	RESULT_JSON_SHA256	CBMC_EXIT	EXACT_FAILURE_COUNT	AUDIT
I1_INIT_ONE	ac6f7a465c899e186e4690204b28337f66148c8b6cd6f6709eb9e4cf3d5b67c0	10	1	PASS
I2_REVERSE_COEFF_WITHIN_BYTE	0deb88506feadd197bd8fd3ffb0c9ed49043f8483acbde9586c6e402f626af8f	10	1	PASS
I3_ROTATE_OUTPUT_BIT_LEFT	7e3f9e1c63b01c44fdee5ce84c21aff60df5d63d532d5acc24c23c7839255c4a	10	1	PASS
I4_INVERT_D1_RESULT	5e87c9491fc244fafceacb378f3580ca9831790bf81fb0a27664548cabe5a580	10	1	PASS
O1_LOWER_THRESHOLD_PLUS_ONE	684522dc99189bae1f4b813ebb7b723c4cb19f6b1ee8baff32cf24cfa5dace28	10	1	PASS
O2_UPPER_THRESHOLD_MINUS_ONE	79b3c2ca90df1ace0f5a7da9a1143394528240bd1838b4020ce0900c80fd1e1a	10	1	PASS
O3_REVERSE_ASSERTION_BIT_ORDER	490452cce360e34ba6c680629f95bd2cc382eeac4d4768bff4c9b3866f4839cd	10	1	PASS
O4_SHIFT_EXPECTED_COEFFICIENT	2c72bdf85e701839956d697670618104e57a37ebaaf9c502475f4cc1c37d0abe	10	1	PASS
