family	kind	harness_file	makefile	semantic_properties	coverage_goals
CANON-T1	theorem	CANON-T1/canon_t1_theorem_harness.c	CANON-T1/Makefile.theorem	4	0
CANON-T1	coverage	CANON-T1/canon_t1_coverage_harness.c	CANON-T1/Makefile.coverage	0	8
CANON-T2	theorem	CANON-T2/canon_t2_theorem_harness.c	CANON-T2/Makefile.theorem	4	0
CANON-T2	coverage	CANON-T2/canon_t2_coverage_harness.c	CANON-T2/Makefile.coverage	0	8
CANON-T3	theorem	CANON-T3/canon_t3_theorem_harness.c	CANON-T3/Makefile.theorem	3	0
CANON-T3	coverage	CANON-T3/canon_t3_coverage_harness.c	CANON-T3/Makefile.coverage	0	11
CANON-T4	theorem	CANON-T4/canon_t4_theorem_harness.c	CANON-T4/Makefile.theorem	6	0
CANON-T4	coverage	CANON-T4/canon_t4_coverage_harness.c	CANON-T4/Makefile.coverage	0	14
