entry_type	archive_path	uncompressed_size	compressed_size	crc32	unix_mode
directory	mlk_scalar_signed_to_unsigned_q_cleanroom/CANON00C_af4c5abd/01_build_workspace/mlkem-native_af4c5abd/.github/actions/bench/	0	0	00000000	0
file	mlk_scalar_signed_to_unsigned_q_cleanroom/CANON00C_af4c5abd/01_build_workspace/mlkem-native_af4c5abd/.github/actions/bench/action.yml	3833	1311	9a06a6ab	0
directory	mlk_scalar_signed_to_unsigned_q_cleanroom/CANON00C_af4c5abd/01_build_workspace/mlkem-native_af4c5abd/.github/actions/cbmc/	0	0	00000000	0
file	mlk_scalar_signed_to_unsigned_q_cleanroom/CANON00C_af4c5abd/01_build_workspace/mlkem-native_af4c5abd/.github/actions/cbmc/action.yml	2384	981	2971eb5b	0
file	mlk_scalar_signed_to_unsigned_q_cleanroom/CANON00C_af4c5abd/01_build_workspace/mlkem-native_af4c5abd/.github/actions/cbmc/report.py	8845	2816	0e34e508	0
directory	mlk_scalar_signed_to_unsigned_q_cleanroom/CANON00C_af4c5abd/01_build_workspace/mlkem-native_af4c5abd/.github/actions/config-variations/	0	0	00000000	0
file	mlk_scalar_signed_to_unsigned_q_cleanroom/CANON00C_af4c5abd/01_build_workspace/mlkem-native_af4c5abd/.github/actions/config-variations/action.yml	13387	1540	0ba8a502	0
directory	mlk_scalar_signed_to_unsigned_q_cleanroom/CANON00C_af4c5abd/01_build_workspace/mlkem-native_af4c5abd/.github/actions/ct-test/	0	0	00000000	0
file	mlk_scalar_signed_to_unsigned_q_cleanroom/CANON00C_af4c5abd/01_build_workspace/mlkem-native_af4c5abd/.github/actions/ct-test/action.yml	1541	640	041b5a66	0
directory	mlk_scalar_signed_to_unsigned_q_cleanroom/CANON00C_af4c5abd/01_build_workspace/mlkem-native_af4c5abd/.github/actions/functest/	0	0	00000000	0
file	mlk_scalar_signed_to_unsigned_q_cleanroom/CANON00C_af4c5abd/01_build_workspace/mlkem-native_af4c5abd/.github/actions/functest/action.yml	5261	1443	364b04e3	0
directory	mlk_scalar_signed_to_unsigned_q_cleanroom/CANON00C_af4c5abd/01_build_workspace/mlkem-native_af4c5abd/.github/actions/lint/	0	0	00000000	0
file	mlk_scalar_signed_to_unsigned_q_cleanroom/CANON00C_af4c5abd/01_build_workspace/mlkem-native_af4c5abd/.github/actions/lint/action.yml	1539	636	edeeff5f	0
directory	mlk_scalar_signed_to_unsigned_q_cleanroom/CANON00C_af4c5abd/01_build_workspace/mlkem-native_af4c5abd/.github/actions/multi-functest/	0	0	00000000	0
file	mlk_scalar_signed_to_unsigned_q_cleanroom/CANON00C_af4c5abd/01_build_workspace/mlkem-native_af4c5abd/.github/actions/multi-functest/action.yml	11985	1389	7045b34d	0
directory	mlk_scalar_signed_to_unsigned_q_cleanroom/CANON00C_af4c5abd/01_build_workspace/mlkem-native_af4c5abd/.github/actions/setup-apt/	0	0	00000000	0
file	mlk_scalar_signed_to_unsigned_q_cleanroom/CANON00C_af4c5abd/01_build_workspace/mlkem-native_af4c5abd/.github/actions/setup-apt/action.yml	798	354	51f1303f	0
directory	mlk_scalar_signed_to_unsigned_q_cleanroom/CANON00C_af4c5abd/01_build_workspace/mlkem-native_af4c5abd/.github/actions/setup-aws-lc/	0	0	00000000	0
file	mlk_scalar_signed_to_unsigned_q_cleanroom/CANON00C_af4c5abd/01_build_workspace/mlkem-native_af4c5abd/.github/actions/setup-aws-lc/action.yml	1031	476	b1cff1b8	0
directory	mlk_scalar_signed_to_unsigned_q_cleanroom/CANON00C_af4c5abd/01_build_workspace/mlkem-native_af4c5abd/.github/actions/setup-brew/	0	0	00000000	0
file	mlk_scalar_signed_to_unsigned_q_cleanroom/CANON00C_af4c5abd/01_build_workspace/mlkem-native_af4c5abd/.github/actions/setup-brew/action.yml	657	348	e3e691b7	0
directory	mlk_scalar_signed_to_unsigned_q_cleanroom/CANON00C_af4c5abd/01_build_workspace/mlkem-native_af4c5abd/.github/actions/setup-nix/	0	0	00000000	0
file	mlk_scalar_signed_to_unsigned_q_cleanroom/CANON00C_af4c5abd/01_build_workspace/mlkem-native_af4c5abd/.github/actions/setup-nix/action.yml	4795	1620	4bfc242b	0
directory	mlk_scalar_signed_to_unsigned_q_cleanroom/CANON00C_af4c5abd/01_build_workspace/mlkem-native_af4c5abd/.github/actions/setup-oqs/	0	0	00000000	0
file	mlk_scalar_signed_to_unsigned_q_cleanroom/CANON00C_af4c5abd/01_build_workspace/mlkem-native_af4c5abd/.github/actions/setup-oqs/action.yml	992	481	ba2e99ce	0
directory	mlk_scalar_signed_to_unsigned_q_cleanroom/CANON00C_af4c5abd/01_build_workspace/mlkem-native_af4c5abd/.github/actions/setup-os/	0	0	00000000	0
file	mlk_scalar_signed_to_unsigned_q_cleanroom/CANON00C_af4c5abd/01_build_workspace/mlkem-native_af4c5abd/.github/actions/setup-os/action.yml	1228	442	85b82eef	0
directory	mlk_scalar_signed_to_unsigned_q_cleanroom/CANON00C_af4c5abd/01_build_workspace/mlkem-native_af4c5abd/.github/actions/setup-pavona/	0	0	00000000	0
file	mlk_scalar_signed_to_unsigned_q_cleanroom/CANON00C_af4c5abd/01_build_workspace/mlkem-native_af4c5abd/.github/actions/setup-pavona/action.yml	1785	792	b0275e2d	0
directory	mlk_scalar_signed_to_unsigned_q_cleanroom/CANON00C_af4c5abd/01_build_workspace/mlkem-native_af4c5abd/.github/actions/setup-shell/	0	0	00000000	0
file	mlk_scalar_signed_to_unsigned_q_cleanroom/CANON00C_af4c5abd/01_build_workspace/mlkem-native_af4c5abd/.github/actions/setup-shell/action.yml	1584	651	0cc80399	0
directory	mlk_scalar_signed_to_unsigned_q_cleanroom/CANON00C_af4c5abd/01_build_workspace/mlkem-native_af4c5abd/.github/actions/setup-yum/	0	0	00000000	0
file	mlk_scalar_signed_to_unsigned_q_cleanroom/CANON00C_af4c5abd/01_build_workspace/mlkem-native_af4c5abd/.github/actions/setup-yum/action.yml	683	330	db5278a2	0
file	mlk_scalar_signed_to_unsigned_q_cleanroom/CANON00C_af4c5abd/01_build_workspace/mlkem-native_af4c5abd/.github/dependabot.yml	218	174	6818a0f3	0
directory	mlk_scalar_signed_to_unsigned_q_cleanroom/CANON00C_af4c5abd/01_build_workspace/mlkem-native_af4c5abd/.github/ISSUE_TEMPLATE/	0	0	00000000	0
file	mlk_scalar_signed_to_unsigned_q_cleanroom/CANON00C_af4c5abd/01_build_workspace/mlkem-native_af4c5abd/.github/ISSUE_TEMPLATE/bug_report.md	720	417	c1a8419b	0
file	mlk_scalar_signed_to_unsigned_q_cleanroom/CANON00C_af4c5abd/01_build_workspace/mlkem-native_af4c5abd/.github/ISSUE_TEMPLATE/feature_request.md	611	354	f07a08d5	0
file	mlk_scalar_signed_to_unsigned_q_cleanroom/CANON00C_af4c5abd/01_build_workspace/mlkem-native_af4c5abd/.github/mlc_config.json	888	362	35a4c3b3	0
directory	mlk_scalar_signed_to_unsigned_q_cleanroom/CANON00C_af4c5abd/01_build_workspace/mlkem-native_af4c5abd/.github/scripts/	0	0	00000000	0
file	mlk_scalar_signed_to_unsigned_q_cleanroom/CANON00C_af4c5abd/01_build_workspace/mlkem-native_af4c5abd/.github/scripts/check-wycheproof-updates.py	5845	2248	b0dcb112	0
